NameID,Week,WkDay,CumDay,DWB100,Sleep,Load,Match01,mcsleep_sas,mcload_sas,z2sleep,z2load,zgroupsleep,zgroupload
1,9,7,63,75,9,1800,1,1.4,1463.764706,0.310691295,1.781908251,2,3
1,10,1,64,75,8,0,0,0.4,-336.2352941,0.088768941,-0.409314723,2,2
1,10,2,65,75,6,0,0,-1.6,-336.2352941,-0.355075766,-0.409314723,2,2
1,10,3,66,75,6,15,0,-1.6,-321.2352941,-0.355075766,-0.391054531,2,2
1,10,4,67,75,6,0,0,-1.6,-336.2352941,-0.355075766,-0.409314723,2,2
1,10,5,68,70,6,0,0,-1.6,-336.2352941,-0.355075766,-0.409314723,2,2
1,10,6,69,,,,0,,,,,,
1,10,7,70,75,9,420,1,1.4,83.76470588,0.310691295,0.101970638,2,2
1,11,1,71,75,9,360,0,1.4,23.76470588,0.310691295,0.028929872,2,2
1,11,2,72,65,5,1200,1,-2.6,863.7647059,-0.576998119,1.051500593,1,3
1,11,3,73,55,5,600,1,-2.6,263.7647059,-0.576998119,0.321092935,1,2
1,11,4,74,65,7,800,1,-0.6,463.7647059,-0.133153412,0.564562154,2,3
1,11,5,75,,,,0,,,,,,
1,11,6,76,,,,0,,,,,,
1,11,7,77,,,,0,,,,,,
1,12,1,78,45,5,0,0,-2.6,-336.2352941,-0.576998119,-0.409314723,1,2
1,12,2,79,55,5,30,0,-2.6,-306.2352941,-0.576998119,-0.37279434,1,2
1,12,3,80,60,7,180,0,-0.6,-156.2352941,-0.133153412,-0.190192425,2,2
1,12,4,81,60,6,1080,1,-1.6,743.7647059,-0.355075766,0.905419061,2,3
1,12,5,82,65,6,360,0,-1.6,23.76470588,-0.355075766,0.028929872,2,2
1,12,6,83,70,12,390,0,4.4,53.76470588,0.976458355,0.065450255,3,2
1,12,7,84,70,14,1680,1,6.4,1343.764706,1.420303062,1.635826719,3,3
1,13,1,85,65,6,0,0,-1.6,-336.2352941,-0.355075766,-0.409314723,2,2
1,13,2,86,75,8,490,0,0.4,153.7647059,0.088768941,0.187184864,2,2
1,13,3,87,50,5,960,0,-2.6,623.7647059,-0.576998119,0.75933753,1,3
1,13,4,88,45,4,120,0,-3.6,-216.2352941,-0.798920472,-0.263233191,1,2
1,13,5,89,55,6,600,0,-1.6,263.7647059,-0.355075766,0.321092935,2,2
1,13,6,90,60,10,120,0,2.4,-216.2352941,0.532613648,-0.263233191,3,2
1,13,7,91,70,10,120,1,2.4,-216.2352941,0.532613648,-0.263233191,3,2
2,1,1,1,55,6,0,0,-1.455882353,-336.2352941,-0.776596357,-0.439972893,1,2
2,1,2,2,75,9,420,0,1.544117647,83.76470588,0.823662803,-0.035152473,3,2
2,1,3,3,75,7,300,0,-0.455882353,-36.23529412,-0.243176637,-0.15081545,2,2
2,1,4,4,70,6,250,0,-1.455882353,-86.23529412,-0.776596357,-0.199008357,1,2
2,1,5,5,75,7,540,0,-0.455882353,203.7647059,-0.243176637,0.080510504,2,2
2,1,6,6,75,9,450,0,1.544117647,113.7647059,0.823662803,-0.006236729,3,2
2,1,7,7,75,9,0,0,1.544117647,-336.2352941,0.823662803,-0.439972893,3,2
2,2,1,8,75,7,360,0,-0.455882353,23.76470588,-0.243176637,-0.092983962,2,2
2,2,2,9,75,7,360,0,-0.455882353,23.76470588,-0.243176637,-0.092983962,2,2
2,2,3,10,65,7,300,0,-0.455882353,-36.23529412,-0.243176637,-0.15081545,2,2
2,2,4,11,75,8,400,0,0.544117647,63.76470588,0.290243083,-0.054429636,2,2
2,2,5,12,75,7,420,0,-0.455882353,83.76470588,-0.243176637,-0.035152473,2,2
2,2,6,13,75,7,70,0,-0.455882353,-266.2352941,-0.243176637,-0.372502823,2,2
2,2,7,14,,,,0,,,,,,
2,3,1,15,75,7,180,0,-0.455882353,-156.2352941,-0.243176637,-0.266478427,2,2
2,3,2,16,75,7,360,0,-0.455882353,23.76470588,-0.243176637,-0.092983962,2,2
2,3,3,17,75,8,240,0,0.544117647,-96.23529412,0.290243083,-0.208646939,2,2
2,3,4,18,70,7,180,0,-0.455882353,-156.2352941,-0.243176637,-0.266478427,2,2
2,3,5,19,65,7,420,0,-0.455882353,83.76470588,-0.243176637,-0.035152473,2,2
2,3,6,20,,,,0,,,,,,
2,3,7,21,75,8,0,0,0.544117647,-336.2352941,0.290243083,-0.439972893,2,2
2,4,1,22,45,7,800,0,-0.455882353,463.7647059,-0.243176637,0.33111362,2,2
