player_id,cum_day,prev_day,curr_day,prev_DWB,curr_DWB,change_DWB,z2prev_DWB,z2sleep,z2load,match
1,81,81,82,60,65,5,0.102618401,-0.355075766,0.028929872,0
1,82,82,83,65,70,5,0.267358926,0.976458355,0.065450255,0
1,83,83,84,70,70,0,0.43209945,1.420303062,1.635826719,1
1,84,84,85,70,65,-5,0.43209945,-0.355075766,-0.409314723,0
1,85,85,86,65,75,10,0.267358926,0.088768941,0.187184864,0
1,86,86,87,75,50,-25,0.596839975,-0.576998119,0.75933753,0
1,87,87,88,50,45,-5,-0.226862649,-0.798920472,-0.263233191,0
1,88,88,89,45,55,10,-0.391603173,-0.355075766,0.321092935,0
1,89,89,90,55,60,5,-0.062122124,0.532613648,-0.263233191,0
1,90,90,91,60,70,10,0.102618401,0.532613648,-0.263233191,1
2,1,1,2,55,75,20,-0.062122124,0.823662803,-0.035152473,0
2,2,2,3,75,75,0,0.596839975,-0.243176637,-0.15081545,0
2,3,3,4,75,70,-5,0.596839975,-0.776596357,-0.199008357,0
2,4,4,5,70,75,5,0.43209945,-0.243176637,0.080510504,0
2,5,5,6,75,75,0,0.596839975,0.823662803,-0.006236729,0
2,6,6,7,75,75,0,0.596839975,0.823662803,-0.439972893,0
2,7,7,8,75,75,0,0.596839975,-0.243176637,-0.092983962,0
2,8,8,9,75,75,0,0.596839975,-0.243176637,-0.092983962,0
2,9,9,10,75,65,-10,0.596839975,-0.243176637,-0.15081545,0
2,10,10,11,65,75,10,0.267358926,0.290243083,-0.054429636,0
2,11,11,12,75,75,0,0.596839975,-0.243176637,-0.035152473,0
2,12,12,13,75,75,0,0.596839975,-0.243176637,-0.372502823,0
2,13,13,14,75,,,0.596839975,,,0
2,14,14,15,,75,,,-0.243176637,-0.266478427,0
2,15,15,16,75,75,0,0.596839975,-0.243176637,-0.092983962,0
2,16,16,17,75,75,0,0.596839975,0.290243083,-0.208646939,0
2,17,17,18,75,70,-5,0.596839975,-0.243176637,-0.266478427,0
2,18,18,19,70,65,-5,0.43209945,-0.243176637,-0.035152473,0
2,19,19,20,65,,,0.267358926,,,0
2,20,20,21,,75,,,0.290243083,-0.439972893,0
2,21,21,22,75,45,-30,0.596839975,-0.243176637,0.33111362,0
2,22,22,23,45,,,-0.391603173,,,0
2,23,23,24,,65,,,-0.243176637,-0.15081545,0
2,24,24,25,65,40,-25,0.267358926,-0.776596357,0.138341992,0
2,25,25,26,40,55,15,-0.556343698,-0.776596357,0.080510504,0
